title,type,genres,releaseYear,imdbAverageRating
Lover,movie,"Comedy, Drama, Romance",1992,5.4
The Hypnotist,movie,"Crime, Drama, Thriller",2012,5.6
The Anderssons in Greece,movie,"Comedy, Family",2012,4.3
Rat Fever,movie,Drama,2011,7.1
"Who's the Woman, Who's the Man",movie,"Comedy, Drama, Romance",1996,6.5
Project 577,movie,"Adventure, Comedy, Drama",2012,6.2
The Neighbors,movie,"Crime, Drama, Mystery",2012,6.5
Crying Ladies,movie,"Comedy, Drama",2003,6.8
George Takes the Air,movie,"Comedy, Musical, War",1938,6.4
Carrie,movie,"Drama, Horror, Thriller",2013,5.8
Trapped by Fear,movie,"Crime, Drama",1960,6
Scenes from a Marriage,movie,Drama,1974,8.3
Chance and Violence,movie,Drama,1974,5.5
Liar Game: Reborn,movie,Drama,2012,6.2
2 + 2,movie,"Comedy, Drama, Romance",2012,6.2
Doraemon: Nobita and the Kingdom of Clouds,movie,"Adventure, Animation, Comedy",1992,7.1
Heroine,movie,Drama,2012,5
Le Léopard,movie,"Action, Adventure",1984,4.1
The Mistress,movie,"Drama, Romance",2012,6.4
"Ruy, the knight with a wooden sword",movie,"Animation, Family",2002,
King George VI: The Man Behind the King's Speech,movie,"Biography, History",2011,6.7
Kalakalappu,movie,Comedy,2012,7
Tootletubs & Jyro,movie,"Animation, Family",2001,7.5
Willy Fog in Journey to the Center of the Earth,movie,"Animation, Comedy, Adventure, Family",1995,
Touch of the Light,movie,"Biography, Drama",2012,7.4
When Fortune Smiles,movie,"Action, Comedy, Crime",1990,6.2
A French Mistress,movie,"Comedy, Romance",1960,5.8
You Are God,movie,"Biography, Drama, Music",2012,6.6
The Last Sentence,movie,"Biography, Drama",2012,6.2
The Girls,movie,"Comedy, Drama",1968,6.7
The Baby Carriage,movie,Drama,1963,6.7
The Softening of the Egg,movie,Comedy,1975,6.2
SOPOR,movie,Comedy,1981,5.3
Fairy Tail: The Phoenix Priestess,movie,"Action, Adventure, Animation",2012,7
Escape,movie,"Adventure, Drama, Thriller",2012,6.1
Jahr des Drachen,movie,Drama,2012,5.8
Doraemon: Nobita's Version of Saiyuki,movie,"Adventure, Animation, Family",1988,6.9
"L'amour, c'est mieux à deux",movie,"Comedy, Romance",2010,5.7
2 Guns,movie,"Action, Comedy, Thriller",2013,6.7
Redemption,movie,"Action, Crime, Drama",2013,6.2
God's Neighbors,movie,Drama,2012,6.8
Unearthly Stranger,movie,"Horror, Mystery, Sci-Fi",1963,6.4
Counselor at Crime,movie,"Action, Crime, Drama",1973,6.2
Lautrec,movie,"Biography, Comedy, Drama",1998,6.7
Doraemon the Movie: Nobita and the Green Giant Legend,movie,"Adventure, Animation, Comedy",2008,6.6
Good Morning President,movie,Drama,2009,5.8
Trolls,movie,"Adventure, Animation, Comedy",2016,6.4
No Good Deed,movie,"Crime, Drama, Horror",2014,5.6
Sleepless Nights,movie,"Drama, Romance",2003,7
Already Famous,movie,Comedy,2011,6.8
The Playbirds,movie,"Crime, Drama, Horror",1978,4.3
The Lego Movie,movie,"Action, Adventure, Animation",2014,7.7
Edge of Tomorrow,movie,"Action, Adventure, Sci-Fi",2014,7.9
Smurfs: The Lost Village,movie,"Adventure, Animation, Comedy",2017,6
Aiyyaa,movie,"Comedy, Romance",2012,4.4
Doraemon: Nobita and the New Steel Troops: ~Winged Angels~,movie,"Action, Adventure, Animation",2011,7.9
Dongala Mutha,movie,"Action, Comedy, Crime",2011,3.3
"My Mother, the Mermaid",movie,"Drama, Fantasy, Romance",2004,6.6
Silent Code,movie,Drama,2012,5.7
Black & White Episode 1: The Dawn of Assault,movie,"Action, Comedy, Crime",2012,6.2
Cold War,movie,"Action, Crime, Mystery",2012,6.6
Women's Day,movie,Drama,2012,6.1
The Departure,movie,"Comedy, Drama, Romance",1967,6.4
Summertime,movie,"Drama, Thriller",2001,5.3
Shirdi Sai,movie,"Biography, Drama, Musical",2012,6.6
A Full Day's Work,movie,"Comedy, Crime",1973,6.8
The Expendables 3,movie,"Action, Adventure, Thriller",2014,6.1
Student of the Year,movie,"Comedy, Drama, Music",2012,5.3
Into the White Night,movie,"Drama, Mystery",2010,6.5
Sisters,movie,Drama,2005,6.6
Luv Shuv Tey Chicken Khurana,movie,Comedy,2012,6.6
Perfect Number,movie,"Crime, Drama, Mystery",2012,6.9
De Marathon,movie,"Comedy, Drama, Sport",2012,7.5
Lilet Never Happened,movie,Drama,2012,6.6
Zokkomon,movie,"Action, Adventure, Family",2011,4.1
Mutter muss weg,movie,Comedy,2012,5.8
We're the Millers,movie,"Comedy, Crime",2013,7
"Look Out, Officer!",movie,"Action, Comedy, Crime",1990,5.8
A Haunted House,movie,"Comedy, Fantasy, Horror",2013,5
"Slunce, seno, erotika",movie,Comedy,1991,5.3
Greedy Ghost,movie,Comedy,2012,5.3
Nativity 2: Danger in the Manger!,movie,"Comedy, Family",2012,5.3
Mundane History,movie,Drama,2009,6.6
The Scapegoat,movie,Drama,2012,7.2
Bitch Hug,movie,Drama,2012,6
Zaman,movie,Crime,1983,6.7
Elles n'oublient jamais,movie,"Drama, Thriller",1994,5.8
The Punishment,movie,"Drama, Thriller",1973,4.1
Kung Fu Panda 3,movie,"Action, Adventure, Animation",2016,7.1
26 Years,movie,"Crime, Drama, Thriller",2012,6.3
Bulldog Drummond at Bay,movie,"Action, Comedy, Drama",1937,5.8
The Return of Bulldog Drummond,movie,"Action, Mystery, Thriller",1934,5.5
Brussels by Night,movie,Drama,1983,6.5
Jealousy Is My Middle Name,movie,"Drama, Romance",2002,6.5
I Wake Up Yesterday,movie,"Comedy, Sci-Fi",2012,6.2
Tito,movie,"Action, Crime, Drama",2004,7.2
Ragnarok,movie,"Adventure, Fantasy",2013,5.8
Justice League,movie,"Action, Adventure, Fantasy",2017,6.1
Garuda di Dadaku,movie,"Drama, Sport",2009,6.7
Craft,movie,Drama,2010,7
Moshe Kasher: Live in Oakland,movie,Comedy,2012,6.6
A Bigger Splash,movie,"Biography, Documentary, Drama",1973,5.8
Viva l'Italia,movie,Comedy,2012,6.2
Doraemon: Nobita and the Birth of Japan,movie,"Adventure, Animation, Family",1989,6.9
Summertime,movie,"Comedy, Horror, Musical",2012,3.1
Todd Glass: Talks About Stuff,movie,Comedy,2012,6.2
What About Dick?,movie,Comedy,2012,7.3
Seven Something,movie,"Drama, Romance",2012,6.6
Chimera,movie,"Comedy, Romance",1968,5.1
Johnny Colt,movie,"Action, Western",1966,5.6
Aftermath,movie,"Drama, Fantasy, Thriller",2012,7.3
Dostana,movie,"Action, Crime, Drama",1980,6.4
Ricky Rapper and Cool Wendy,movie,"Comedy, Family, Musical",2012,5.1
Kontorstid,movie,"Comedy, Drama",2003,4.5
No One Can Judge Me,movie,"Comedy, Musical, Romance",1966,5.6
Sabotage,movie,"Action, Crime, Drama",2014,5.7
New Year's Eve at Bob's,movie,Comedy,1984,4.5
Dark Skies,movie,"Horror, Sci-Fi, Thriller",2013,6.3
Die fantastische Reise der Schmetterlinge,movie,Documentary,2012,
Strong as a Lion,movie,"Adventure, Drama, Family",2003,4.8
Chill Out!,movie,"Comedy, Drama",2003,6.1
Get Charlie Tully,movie,"Comedy, Crime",1972,5.7
À tout casser,movie,"Action, Comedy, Crime",1968,4.3
"Rio, 40 Degrees",movie,Drama,1955,7.5
Triple 9,movie,"Action, Crime, Drama",2016,6.3
Nasaan si Francis?,movie,Comedy,2006,5.1
RED 2,movie,"Action, Comedy, Crime",2013,6.6
Getaway,movie,"Action, Thriller",2013,4.4
Prisoners,movie,"Crime, Drama, Mystery",2013,8.2
Runner Runner,movie,"Crime, Mystery, Thriller",2013,5.6
The Best Man Holiday,movie,"Comedy, Drama",2013,6.6
On the Other Side of the Tracks,movie,"Action, Comedy, Crime",2012,5.8
Joker,movie,"Comedy, Crime",1991,4.7
Pensionat Paradiset,movie,Comedy,1937,5.8
The Stringless Violin,movie,"Drama, Romance",2003,6
Obsessed,movie,"Crime, Drama, Mystery",1951,6.6
I Do Bidoo Bidoo: Heto nApo sila!,movie,"Comedy, Musical, Romance",2012,7.9
Maria Bamford: The Special Special Special!,movie,Comedy,2012,6.8
Le pays d'où je viens,movie,"Comedy, Music, Romance",1956,6
Snuf de hond en de jacht op vliegende Volckert,movie,"Adventure, Family, Mystery",2008,6
It Gets Better,movie,"Drama, Romance",2012,7.1
Doraemon: Nobita and the Castle of the Undersea Devil,movie,"Adventure, Animation, Comedy",1983,6.9
97% Owned,movie,Documentary,2012,7.7
Ingeborg Holm,movie,Drama,1913,7
Agent Hamilton: But Not If It Concerns Your Daughter,movie,"Action, Drama, Thriller",2012,5.6
Once Upon a Time in the Battlefield,movie,Comedy,2003,5.7
The Romancing Star,movie,"Comedy, Romance",1987,6.1
Iron Ladies 2,movie,"Comedy, Sport",2003,5.1
Eega,movie,"Action, Comedy, Drama",2012,7.7
Old Rascal,movie,"Comedy, Crime, Thriller",1992,6.1
Duet for Cannibals,movie,Drama,1969,6.5
Omertà,movie,"Crime, Drama, Thriller",2012,5.8
La taverne du poisson couronné,movie,Drama,1947,5.6
Horns,movie,"Comedy, Fantasy, Horror",2013,6.4
The Wind Rises,movie,"Animation, Biography, Drama",2013,7.7
The Tale of The Princess Kaguya,movie,"Animation, Drama, Family",2013,8
Champions,movie,"Biography, Drama, Romance",1984,6.5
Sången om den eldröda blomman,movie,"Drama, Romance",1919,6.8
Nine Men,movie,"Drama, War",1943,6.3
I Give It a Year,movie,"Comedy, Romance",2013,5.7
J'ai rencontré le Père Noël,movie,"Family, Fantasy, Musical",1984,3.1
Kamenák,movie,Comedy,2003,3.1
Chhota Bheem and the Curse of Damyaan,movie,"Action, Adventure, Animation",2012,6.6
"Chaos, Disorder",movie,"Drama, Family, Fantasy",2012,6
Der Bärenhäuter,movie,"Family, Fantasy",1986,6.4
The Stranger Left No Card,movie,"Crime, Drama, Mystery",1952,7.4
Gina Yashere: Skinny B*tch,movie,"Comedy, Documentary",2008,6.5
Dance Hall,movie,"Drama, Music, Romance",1950,6
Colosio,movie,Thriller,2012,7.3
Lost in Thailand,movie,"Adventure, Comedy, Drama",2012,6.2
Puella Magi Madoka Magica the Movie Part 1: Beginnings,movie,"Animation, Drama, Fantasy",2012,7.6
Puella Magi Madoka Magica the Movie Part 2: Eternal,movie,"Animation, Fantasy, Mystery",2012,7.9
Summits of My Life: A Fine Line,movie,"Documentary, Sport",2012,7.2
The Copper Tower,movie,"Drama, Romance",1970,7.4
The Romancing Star 3,movie,"Comedy, Romance",1989,4.7
The Romancing Star 2,movie,"Comedy, Romance",1988,5.6
I Superbiker 2 - The Showdown,movie,Sport,2012,6
Líbás jako dábel,movie,Comedy,2012,4.7
It's Tough for Everybody,movie,Comedy,1975,5.3
August: Osage County,movie,"Comedy, Drama",2013,7.2
The Best Offer,movie,"Crime, Drama, Mystery",2013,7.8
Hotaru the Movie: It's Only a Little Light in My Life,movie,"Drama, Romance",2012,5.7
The Stroller Strategy,movie,Comedy,2012,5.5
Kamenák 2,movie,Comedy,2004,2.7
Underdogs,movie,"Adventure, Animation, Comedy",2013,6.4
Mapado,movie,"Adventure, Comedy, Drama",2005,6.1
The Angry Birds Movie,movie,"Action, Adventure, Animation",2016,6.3
Little Wars,movie,"Drama, War",1982,6.1
The Devil Inside,movie,Crime,1961,6.6
Straight A's,movie,"Comedy, Drama",2013,5.6
The Resurrection of a Bastard,movie,Drama,2013,6.2
The Tower,movie,"Action, Drama, Thriller",2012,6.5
Andala Rakshasi,movie,Romance,2012,6.8
"It's a Mad, Mad, Mad World",movie,"Comedy, Family, Fantasy",1987,6.6
"It's a Mad, Mad, Mad World II",movie,Comedy,1988,6.6
Husbands in Goa,movie,Comedy,2012,4
Till Luck Do Us Part,movie,Comedy,2012,5.5
Maid,movie,"Action, Comedy",2004,5.8
The Magic of Hope,movie,Drama,2011,6.2
Alfie Darling,movie,"Comedy, Drama",1975,4.6
Cage of Gold,movie,"Crime, Drama",1950,6.4
Left Right and Centre,movie,"Comedy, Romance",1959,6.2
Nicht alle waren Mörder,movie,Biography,2006,6.9
Hoselupf,movie,Documentary,2011,6.6
Barbara,movie,Drama,1997,6.1
Srimannarayana,movie,Drama,2012,3.7
King Thrushbeard,movie,"Comedy, Drama, Fantasy",1984,6.9
The Lovers!,movie,"Comedy, Romance",1973,6.1
Blueblood,movie,"Drama, Horror",1974,4.5
Austenland,movie,"Comedy, Romance",2013,6.3
One More Try,movie,Drama,2012,6
Spring and Port Wine,movie,Drama,1970,7
The Police Commissioner,movie,"Comedy, Crime, Drama",1962,6.8
The Diary of a Big Man,movie,"Comedy, Romance",1988,6.7
ABCD (Any Body Can Dance),movie,"Drama, Music",2013,6.3
Interstellar,movie,"Adventure, Drama, Sci-Fi",2014,8.7
Transcendence,movie,"Action, Drama, Sci-Fi",2014,6.2
In a World...,movie,Comedy,2013,6.6
Kill Your Darlings,movie,"Biography, Drama, Romance",2013,6.4
The Spectacular Now,movie,"Drama, Romance",2013,7
Oculus,movie,"Horror, Mystery, Thriller",2013,6.5
Louder Than Bombs,movie,Drama,2015,6.6
The Young and Prodigious T.S. Spivet,movie,"Adventure, Comedy, Drama",2013,7
A Most Wanted Man,movie,"Crime, Drama, Thriller",2014,6.7
The Call,movie,"Drama, Thriller",2013,6.7
The Purge,movie,"Horror, Sci-Fi, Thriller",2013,5.7
Miracle in Cell No. 7,movie,"Comedy, Drama",2013,8.1
What They Don't Talk About When They Talk About Love,movie,"Drama, Romance",2013,7.1
"Some Will, Some Won't",movie,Comedy,1970,5.8
Blackfish,movie,"Documentary, Drama, Horror",2013,8.1
Duplicate,movie,"Action, Comedy, Crime",1998,5.6
In Fear,movie,"Horror, Mystery, Thriller",2013,5.4
Delhi Dance,movie,Drama,2012,6.8
Domestic,movie,"Comedy, Drama, Family",2012,6.6
Hotel Transylvania 2,movie,"Adventure, Animation, Comedy",2015,6.6
Gloria,movie,"Comedy, Drama, Romance",2013,6.9
Ram Jaane,movie,"Action, Crime, Drama",1995,5.4
Oh Darling Yeh Hai India,movie,Comedy,1995,4
English Babu Desi Mem,movie,"Comedy, Drama, Musical",1996,4.6
The Golden Ball,movie,"Comedy, Drama, Family",1994,6.3
Crayon Shin-chan: Invoke a Storm! The Kasukabe Boys of the Evening Sun,movie,"Adventure, Animation, Comedy",2004,6.8
Miracle,movie,"Comedy, Drama, Romance",2006,6
Doraemon: Nobita and the Island of Miracles ~Animal Adventure~,movie,"Action, Adventure, Animation",2012,6.7
The Berlin File,movie,"Action, Thriller",2013,6.6
Between Two Women,movie,Drama,2003,6.3
Elena,movie,"Biography, Documentary, Drama",2012,7.5
David,movie,"Action, Crime, Drama",2013,6.2
I Wish I Had a Wife,movie,"Comedy, Drama, Romance",2001,6.3
Inkaar,movie,"Drama, Romance, Thriller",2013,6.1
Northwest,movie,"Action, Crime, Drama",2013,6.8
Doraemon: Nobita's Great Adventure into the Underworld,movie,"Adventure, Animation, Family",1984,7
Doraemon: Nobita's Little Star Wars,movie,"Adventure, Animation, Family",1985,7.2
Doraemon: Nobita and the Animal Planet,movie,"Adventure, Animation, Family",1990,6.8
Doraemon: Nobita's Three Visionary Swordsmen,movie,"Adventure, Animation, Comedy",1994,7.3
Celal and Ceren,movie,"Comedy, Romance",2013,3.2
Doraemon: Nobita and the Tin Labyrinth,movie,"Action, Adventure, Animation",1993,7
Head Over Heels 2,movie,"Comedy, Romance",2012,5.8
Doraemon: Nobita's Diary on the Creation of the World,movie,"Adventure, Animation, Comedy",1995,6.7
Doraemon: Nobita Drifts in the Universe,movie,"Action, Adventure, Animation",1999,6.6
Doraemon: Nobita and the Winged Braves,movie,"Action, Adventure, Animation",2001,6.9
Doraemon: Nobita and the Robot Kingdom,movie,"Adventure, Animation, Family",2002,6.7
"Doraemon: The Records of Nobita, Spaceblazer",movie,"Adventure, Animation, Family",1981,6.7
The Liability,movie,"Comedy, Crime, Thriller",2012,5.9
Paper Boat 2,movie,"Drama, Romance",2012,6.7
To Bed or Not to Bed,movie,"Comedy, Fantasy",1963,6.2
The Little Soldier,movie,"Animation, Family, Romance",1948,6.8
The Little Gangster,movie,Drama,1990,6.7
Birds of Prey,movie,"Action, Adventure, Drama",1968,6.3
Doraemon: Nobita and the Spiral City,movie,"Adventure, Animation, Comedy",1997,6.5
Ego,movie,"Comedy, Drama, Romance",2013,6.1
Two Hours to Kill,movie,"Crime, Drama, Mystery",1966,5.5
Kureyon Shinchan: Arashi o yobu ougon no supai daisakusen,movie,"Action, Adventure, Animation",2011,6.1
Eiga Kureyon Shinchan: Arashi o yobu! Ora to uchuu to purinsesu,movie,"Action, Adventure, Animation",2012,5.9
Crayon Shin-chan: Very Tasty! B-class Gourmet Survival!!,movie,"Adventure, Animation, Comedy",2013,6.7
"Dzhentlmeny, udachi!",movie,Comedy,2012,2.9
Sisterakas,movie,Comedy,2012,5.2
Verliefd op Ibiza,movie,"Comedy, Romance",2013,4.8
To Hell with Hitler,movie,"Comedy, Musical, War",1940,6.4
"Bless Me, Ultima",movie,"Biography, Drama, History",2012,6.4
Serena,movie,"Drama, History, Romance",2014,5.4
We Not Naughty,movie,"Comedy, Drama",2012,5.5
Some People,movie,"Drama, Musical",1962,6.3
Out of the Furnace,movie,"Action, Crime, Drama",2013,6.7
One Direction: This Is Us,movie,"Documentary, Music",2013,4.3
Hor taew tak 3,movie,Comedy,2011,5.1
St. Peter's Umbrella,movie,"Comedy, Drama, Romance",1958,7
Gumrah,movie,"Action, Crime, Drama",1993,6.1
New World,movie,"Action, Crime, Drama",2013,7.5
Loser Takes All,movie,Comedy,1956,5
The Priest's Children,movie,"Comedy, Drama",2013,6.8
Scorpion in Love,movie,"Drama, Romance, Sport",2013,5.8
How to Train Your Dragon: The Hidden World,movie,"Action, Adventure, Animation",2019,7.4
3096 Tage,movie,"Biography, Crime, Drama",2013,6.5
A Friend in Need,movie,"Drama, Thriller",2010,4.5
Curse of Chucky,movie,"Horror, Thriller",2013,5.6
Traffic Department,movie,"Crime, Drama",2012,7.3
Long Live Freedom,movie,"Comedy, Drama",2013,6.9
Legs of Gold,movie,"Comedy, Music, Sport",1958,5.5
The God of Wood,movie,Drama,2010,5.7
North of the Sun,movie,"Adventure, Documentary, Sport",2012,7.9
Reaching for the Moon,movie,"Biography, Drama, History",2013,7
Mystery Junction,movie,"Crime, Drama, Film-Noir",1951,5.7
Från och med herr Gunnar Papphammar,movie,Comedy,1981,6.4
Buddies,movie,"Adventure, Comedy, Drama",2012,6.5
Ah Boys to Men,movie,Comedy,2012,6.1
The Last Days,movie,"Horror, Sci-Fi, Thriller",2013,6.1
Kai Po Che,movie,"Drama, Sport",2013,7.8
Furious 7,movie,"Action, Crime, Thriller",2015,7.1
Coming Forth by Day,movie,Drama,2012,6.4
All for Two,movie,"Comedy, Crime",2013,5.8
Julie,movie,Drama,2013,4.1
Billy and Buddy,movie,"Comedy, Family",2013,4.4
American Hustle,movie,"Crime, Drama",2013,7.2
Company of Heroes,movie,"Action, War",2013,5
Monica Z,movie,"Biography, Drama, Music",2013,6.8
Just Friends?,movie,"Drama, Musical, Romance",2009,6.7
Small Town Rivals,movie,Comedy,2007,5.8
Sound of Heimat - Deutschland singt,movie,Documentary,2012,7.3
Our Last Weekend,movie,"Drama, Horror, Mystery",2011,3
Cycle,movie,"Animation, Mystery, Sci-Fi",2012,4.1
Shackled,movie,"Horror, Mystery, Thriller",2012,6.2
Short Term 12,movie,Drama,2013,7.9
In Defense of a Married Man,movie,"Crime, Drama",1990,5.5
The Short Game,movie,"Documentary, Sport",2013,7.3
Flight of the Butterflies,movie,"Biography, Documentary, Drama",2012,7.2
A Walk Among the Tombstones,movie,"Action, Crime, Drama",2014,6.5
The Tricyclist,movie,"Comedy, Sport",1957,5.3
Take Me High,movie,"Comedy, Musical, Romance",1973,4.7
Il principe abusivo,movie,Comedy,2013,5.3
1939,movie,"Biography, Drama, History",1989,6.1
Asterix and Obelix: Mansion of the Gods,movie,"Adventure, Animation, Comedy",2014,6.9
Sonja and the Bull,movie,"Comedy, Romance",2012,6.9
Maya,movie,"Drama, Mystery, Romance",1993,5.4
The Butterfly's Dream,movie,"Biography, Drama, History",2013,7.6
Brothers in Law,movie,Comedy,1957,6.4
Romantik Komedi 2: Bekarliga Veda,movie,"Comedy, Romance",2013,5.2
إتش دبور,movie,,2008,
Whatcha Wearin'?,movie,"Comedy, Romance",2012,6.9
Panihida,movie,"Drama, Family, History",2012,6.4
Postmark for Danger,movie,"Crime, Drama, Mystery",1955,6.5
In Secret,movie,"Crime, Drama, Thriller",2013,6.1
A Luz do Tom,movie,Documentary,2013,6.6
Drinking Buddies,movie,"Comedy, Drama, Romance",2013,6.1
Habibie & Ainun,movie,"Biography, Drama, History",2012,7.6
An Ethics Lesson,movie,"Drama, Thriller",2013,5.6
Saheb Biwi Aur Gangster Returns,movie,"Action, Crime, Drama",2013,6.7
Mutlu Aile Defteri,movie,Comedy,2013,6
It Boy,movie,"Comedy, Romance",2013,6.3
Something Necessary,movie,Drama,2013,7
Punk in London,movie,"Documentary, Music",1977,6.8
Trouble Brewing,movie,"Action, Comedy, Crime",1939,6.3
Rio 2096: A Story of Love and Fury,movie,"Action, Adventure, Animation",2013,7.2
The Other Shore: The Diana Nyad Story,movie,"Adventure, Biography, Documentary",2013,7.2
The Shooter,movie,"Crime, Drama, Thriller",2013,5.6
Amiche da morire,movie,Comedy,2013,6.2
"Cry, the Beloved Country",movie,Drama,1951,6.9
Resident Evil: The Final Chapter,movie,"Action, Horror, Sci-Fi",2016,5.5
Impossible Is Not French,movie,Comedy,1974,4.9
A Case of You,movie,"Comedy, Romance",2013,5.6
The English Teacher,movie,"Comedy, Drama",2013,5.7
The Pretty One,movie,"Comedy, Drama",2013,6.3
Jane Got a Gun,movie,"Action, Drama, Western",2015,5.9
Europa Report,movie,"Adventure, Drama, Mystery",2013,6.4
The Kirishima Thing,movie,Drama,2012,7.2
Folly to Be Wise,movie,"Comedy, Drama",1952,6.1
A Body in the Woods,movie,Thriller,1996,6.3
Sleepless Nights,movie,Documentary,2012,7.7
Home Run,movie,"Drama, Sport",2013,5.9
Remake,movie,Drama,2006,6.3
One Piece Film Z,movie,"Action, Adventure, Animation",2012,7.7
Low Life,movie,"Action, Crime, Drama",2004,6
Panic in the Parlor,movie,Comedy,1956,6.3
Alan Partridge,movie,"Action, Comedy, Crime",2013,6.9
Survive and Advance,movie,"Biography, Documentary, History",2013,8.5
In Desert and Wilderness,movie,"Adventure, Family",2001,5.2
Lucio Flavio,movie,"Crime, Drama",1977,7.4
Totally Personal,movie,"Biography, Documentary",2005,7.4
Tiger & Bunny the Movie: The Beginning,movie,"Action, Animation, Sci-Fi",2012,6.5
En dag skall gry,movie,"Drama, War",1944,5.8
Underground Rendezvous,movie,"Comedy, Drama, War",2007,6.1
Countdown,movie,"Horror, Mystery, Thriller",2012,6.2
The Overture,movie,"Biography, Drama, History",2004,7.9
Luna verde,movie,Drama,2010,5
The Great Beauty,movie,Drama,2013,7.7
Goddess,movie,"Comedy, Musical, Romance",2013,5.9
Witching and Bitching,movie,"Action, Comedy, Fantasy",2013,6.4
The Flying Scotsman,movie,"Crime, Drama",1929,6.2
Terror Ship,movie,"Crime, Drama, Mystery",1954,5.8
El ciclo Dreyer,movie,"Drama, Romance",2006,4.5
They Came Together,movie,"Comedy, Romance",2014,5.6
The Raid 2,movie,"Action, Crime, Thriller",2014,7.9
Here's the Deal,movie,"Adventure, Comedy",2013,5.5
Les anonymes,movie,"Crime, Drama",2013,6.8
Fists of Legend,movie,Action,2013,6.7
Himmatwala,movie,"Action, Comedy, Drama",2013,1.8
Muqaddar Ka Faisla,movie,"Action, Comedy, Drama",1987,4.9
Chashme Baddoor,movie,"Comedy, Drama",2013,5.4
Settai,movie,"Action, Comedy, Crime",2013,4.6
T2 Trainspotting,movie,"Comedy, Crime, Drama",2017,7.1
Ninja: Shadow of a Tear,movie,"Action, Thriller",2013,6.1
Shield of Straw,movie,"Action, Crime, Drama",2013,6.2
Vehicle 19,movie,"Action, Crime, Thriller",2013,4.9
Endless Horizon - Africa 3D,movie,Documentary,2013,
Child 44,movie,"Crime, Drama, History",2015,6.4
Kevin Hart: Let Me Explain,movie,"Comedy, Documentary",2013,6.7
Malesh Ehna Benetbahdel,movie,Comedy,2005,5.9
As White as in Snow,movie,"Biography, Drama, Romance",2001,6.2
"White as Milk, Red as Blood",movie,"Comedy, Drama",2013,6.1
Dark Places,movie,"Crime, Drama, Mystery",2015,6.2
The Unforgiven,movie,Drama,2005,6.8
"I, Superbiker: Day of Reckoning",movie,"Documentary, Sport",2013,5.8
I'm Not Worthy of You,movie,"Comedy, Musical, Romance",1965,5.6
Best Before,movie,"Comedy, Drama",2013,5.1
Lock Up Your Daughters,movie,Comedy,1980,
The Contact,movie,Romance,1997,6.8
"The Fun, the Luck & the Tycoon",movie,"Comedy, Romance",1990,6.1
Doraemon: Nobita and the Haunts of Evil,movie,"Adventure, Animation, Comedy",1982,6.9
All My Loving,movie,"Biography, Documentary, Music",1968,6.2
Think Like a Man Too,movie,"Comedy, Romance",2014,5.7
The Letter,movie,"Drama, Romance",2004,7.1
Pee Mak,movie,"Comedy, Horror, Romance",2013,7.2
Hands of Stone,movie,"Biography, Drama, Sport",2016,6.6
A Haunted House 2,movie,"Comedy, Fantasy, Horror",2014,4.7
Deliver Us from Evil,movie,"Crime, Horror, Mystery",2014,6.2
Super Salaryman,movie,"Comedy, Drama",2012,6.6
It Takes a Man and a Woman,movie,"Comedy, Drama, Romance",2013,6.8
The Birch-Tree Meadow,movie,Drama,2003,6.4
My Stolen Revolution,movie,Documentary,2013,7
Yeh Jawaani Hai Deewani,movie,"Comedy, Drama, Musical",2013,7.2
The Interrupted Journey,movie,"Crime, Drama, Mystery",1949,6.7
[REC] 4: Apocalypse,movie,"Action, Horror, Thriller",2014,5.3
Videograms of a Revolution,movie,"Documentary, History, War",1992,8
Hai-Alarm am Müggelsee,movie,Comedy,2013,6
Love Is Not What It Used to Be,movie,"Comedy, Drama",2013,5
Stockholm,movie,"Drama, Romance",2013,6.9
"Long Ago, Tomorrow",movie,"Drama, Romance",1971,6.9
Swearnet,movie,Comedy,2014,6
Boulevard des assassins,movie,"Crime, Drama, Mystery",1982,5.6
"Love, etc.",movie,"Comedy, Drama, Romance",1996,6.2
Alma gitana,movie,"Drama, Romance",1996,5.5
A Liberal Passion,movie,Comedy,2013,5.1
22 Jump Street,movie,"Action, Comedy, Crime",2014,7
The Married Couples,movie,Comedy,1981,8
¡Asu Mare!,movie,"Biography, Comedy",2013,6.4
Shed No Tears,movie,"Drama, Music, Romance",2013,6.9
Blonde Fist,movie,"Action, Drama, Sport",1991,4.7
A Million Ways to Die in the West,movie,"Comedy, Western",2014,6.1
Finding Mr. Right,movie,"Comedy, Romance",2013,6.5
The Legend of Hercules,movie,"Action, Adventure, Fantasy",2014,4.3
Entourage,movie,"Comedy, Drama",2015,6.5
Doraemon: Nobita's Dorabian Nights,movie,"Adventure, Animation, Comedy",1991,7.3
León and Olvido,movie,Drama,2004,6.3
Star Trek Beyond,movie,"Action, Adventure, Sci-Fi",2016,7
My Paparotti,movie,"Biography, Comedy, Drama",2013,7.1
How to Use Guys with Secret Tips,movie,"Comedy, Romance",2013,6.4
"Yo, 'El Vaquilla'",movie,"Action, Biography, Drama",1985,5.3
El vuelo de la paloma,movie,Comedy,1989,6
Frágil,movie,"Comedy, Drama, Romance",2004,5.7
Gippi,movie,"Comedy, Drama",2013,5.6
Edward and Caroline,movie,"Comedy, Drama, Romance",1951,6.9
Främmande hamn,movie,Drama,1948,5.8
Theeya Velai Seiyyanum Kumaru,movie,Comedy,2013,6.2
Hôtel Normandy,movie,"Comedy, Romance",2013,4.7
